"","url","title","snippet","date"
"1","https://www.dailywire.com/news/the-kamala-harris-stock-market-crash","The Kamala Harris Stock Market Crash","Aug 5, 2024 ... There will come a point when Kamala Harris has to answer a serious question. Democrats are hoping that doesn't happen until after the election.",2024-08-05
"2","https://www.dailywire.com/news/as-a-prosecutor-kamala-harris-refused-to-seek-the-death-penalty-for-a-gang-member-who-murdered-a-cop","As A Prosecutor, Kamala Harris Refused To Seek The Death ...","Aug 2, 2024 ... When Kamala Harris was running to be San Francisco's district attorney, she said she would never pursue the death penalty. But then a case came before her that ...",2024-08-02
"3","https://www.dailywire.com/news/kamala-harris-secret-service-covers-up-security-cameras-at-private-business-breaks-into-building-report","Kamala Harris' Secret Service Covers Up Security Cameras At ...","Aug 10, 2024 ... Vice President Kamala Harris' Secret Service detail was caught on video committing crimes against a local business owner during a Harris campaign event late ...",2024-08-10
"4","https://www.dailywire.com/news/vp-pick-walz-says-hes-so-pro-abortion-that-nancy-pelosi-suggested-he-moderate-stance","VP Pick Walz Says He's So Pro-Abortion That Nancy Pelosi ...","Aug 6, 2024 ... “Kamala Harris and Tim Walz are both radically pro-abortion and see the lives of precious unborn babies as disposable inconveniences.” Advertisement. The ...",2024-08-06
"5","https://www.dailywire.com/news/byron-donalds-blasts-abc-news-george-stephanopoulos-for-his-meltdown-on-live-tv","Byron Donalds Blasts ABC News' George Stephanopoulos For His ...","Aug 4, 2024 ... ... Donalds for responding to his questions about former President Donald Trump's remarks on Vice President Kamala Harris' race. Donalds made the remarks during ...",2024-08-04
"6","https://www.dailywire.com/news/tim-walz-signed-bill-stripping-anti-pedophile-language-from-minnesotas-human-rights-act","Tim Walz Signed Bill Stripping Anti-Pedophile Language From ...","Aug 7, 2024 ... UNITED STATES - AUGUST 6: Vice President Kamala Harris, Democratic nominee for president, Tom Williams/CQ-Roll Call, Inc via Getty Images. Minnesota Governor ...",2024-08-07
"7","https://www.dailywire.com/news/did-tim-walz-really-put-tampons-in-the-boys-bathroom","Did Tim Walz Really Put Tampons In The Boys Bathroom?","Aug 9, 2024 ... Minnesota Governor Tim Walz (D) has taken a lot of heat in the days since he was tapped as Vice President Kamala Harris' running mate for signing a law ...",2024-08-09
"8","https://www.dailywire.com/news/walz-embellished-and-selectively-omitted-facts-about-his-military-career-retired-national-guardsmen","Walz 'Embellished And Selectively Omitted Facts' About His Military ...","Aug 6, 2024 ... Vice President Kamala Harris picked Minnesota Governor Tim Walz as her running mate on Tuesday, and will likely emphasize his military service as part of ...",2024-08-06
"9","https://www.dailywire.com/news/no-one-denigrated-tim-walzs-military-service-more-than-he-did-himself","No One Denigrated Tim Walz's Military Service More Than He Did ...","Aug 8, 2024 ... Governor Tim Walz's (D-MN) military career has been the subject of much scrutiny over the past few days, ever since Vice President Kamala Harris tapped him ...",2024-08-08
"10","https://www.dailywire.com/news/trans-six-year-olds-custody-battles-and-tampons-for-boys-tim-walzs-record-on-kids-and-gender-ideology","'Trans' Six-Year-Olds, Custody Battles, And Tampons For Boys: Tim ...","Aug 6, 2024 ... ... Vice President Kamala Harris tapped the Minnesota governor as her running mate Tuesday, prompting scrutiny of his progressive record on everything ...",2024-08-06
"11","https://www.dailywire.com/news/walz-signed-exec-order-protecting-trans-procedures-on-minors-while-holding-hand-of-gender-confused-12-year-old","Walz Signed Exec Order Protecting Trans Procedures On Minors ...","Aug 6, 2024 ... Democratic presidential nominee Kamala Harris has chosen Minnesota Gov. Tim Walz as her running mate, a leftist who, last year, signed an executive order ...",2024-08-06
"12","https://www.dailywire.com/news/as-somali-gangs-waged-war-and-trafficked-children-in-minnesota-tim-walz-asked-for-more-somali-refugees","As Somali Gangs Waged War and Trafficked Children In Minnesota ...","Aug 7, 2024 ... Walz, whom Vice President Kamala Harris tapped as her running mate this week, petitioned the Trump administration to send more refugees to Minnesota in 2019,",2024-08-07
"13","https://www.dailywire.com/news/minnesota-or-somalia-vp-pick-tim-walz-changed-problematic-state-flag-to-be-more-inclusive","'Minnesota Or Somalia?': VP Pick Tim Walz Changed 'Problematic ...","Aug 6, 2024 ... Democratic Gov. Tim Walz of Minnesota, who has been selected as Vice President Kamala Harris's VP pick, helped change his state's flag three months ago because ...",2024-08-06
"14","https://www.dailywire.com/news/first-green-beret-in-congress-reacts-to-tim-walzs-military-record-he-has-some-explaining-to-do","First Green Beret In Congress Reacts To Tim Walz's Military Record ...","Aug 7, 2024 ... Waltz said there are “a lot of questions” about how Walz, who is now hitting the campaign trail with Vice President Kamala Harris, should be describing himself.",2024-08-07
